jianjie,name
"
内容简介
问题1：作为穷困黑人的感觉怎么样？（ ）

A.很差 B.有点差 C.不好不坏 D.还不错 E.非常好。

“妈的，你一定是在搞笑。”

“我不是黑人，也不是非裔美国人。我是一个黑鬼。黑鬼就是住在这栋楼里...",《城中城：社会学家的街头发现》[美]文卡斯特（作者）epub+mobi+azw3
"
内容简介
作者以流利华美的笔致，对我国唐五代词的起源、发展，作了简明扼要的介绍。既肯定了各家作品的思想性和艺术性，同时也指出了其局限性和不足之处。",《唐五代词 (古典文学基本知识丛书)》黄进德（作者）epub+mobi+azw3
"
内容简介
四个性格迥异、各怀心事的人，狼狈不堪地相逢，于是一段哭笑参半、变数不断的故事开始了……

把枪口对准丈夫的女人——枪声一响，覆水难收。波西娅已经为他赔付了整个青春，还要为他断送未来吗？

...",《爱有失落时》[美]马修·奎克（作者）epub+mobi+azw3
"
内容简介
《几何原本》是一部集前人思想和欧几里得个人创造性于一体的不朽之作。这部书基本囊括了古希腊从公元前7世纪一直到公元前4世纪的几何学发展历史。书中不仅保存了许多古希腊早期的几何学理论，而且通...",《世界经典科普读本：几何原本》欧几里得（作者）epub+mobi+azw3
"
内容简介
本书作者布莱恩·万辛克博士被尊称为“食物界的福尔摩斯”。

穷其一生都在研究一件事：到底是什么因素让我们吃下了过多的食物。他的实验过程严谨而又妙趣横生，而研究结论出人意料却又让人恍然大悟。...",《好好吃饭：无须自控力，三观最正的瘦身指南》布莱恩·万辛克（作者）epub+mobi+azw3
"
内容简介
★日本本格派最具代表性侦探小说，百万册畅销书。
★江户川乱步力举推荐，影响松本清张、东野圭吾、岛田庄司的重要作品。
★ 经久不衰的殿堂级法律型推理小说。
★ 作品森冷沉静的笔触，勾勒出人心幽...",《来信勿拆：杀人鬼》[日]浜尾四郎（作者）epub+mobi+azw3
"
内容简介
86天海上日落，28种旖旎风情，这是知名媒体人、畅销书作者、《三联生活周刊》特约撰稿人""土摩托”的86天环球航海日志！这是首个从中国出发的环球邮轮，历时86天，横跨三大洋、五大洲，途经18个国家和...",《像蜗牛一样旅行》袁越（作者）epub+mobi+azw3
"
内容简介
大晏国，仁王十三年，五月，玉乌城，虚江畔，虚江神主自江中冲天而起，带动整条几十里长的虚江，冲击玉乌城，一时间，玉乌城尽毁。一片废墟水国之中，一个竹篮顺水漂流，一个白嫩婴儿静卧其中，望着...",《三界武皇（套装全6册）》李雪夜（作者）epub+mobi+azw3
"
内容简介
宋代涌现出了梅尧臣、欧阳修、王安石、苏轼、黄庭坚、陆游、范成大、杨万里等一大批杰出的诗人。宋诗就其内容论，比唐诗更为广阔，就技巧论，较唐诗更为精细，在唐诗的基础上有所发展、开拓，逐步形...",《宋诗 (古典文学基本知识丛书)》房开江（作者）epub+mobi+azw3
"
内容简介
本书从博物的角度阐释了中国古代“多识于鸟兽草木之名”的教育思想，介绍了普林尼、格斯纳、怀特、卢梭等开创的西式博物学。本书还结合草木这一切入点，通俗示例了公众如何参与博物学，如何使自己的日...",《博物人生》刘华杰（作者）epub+mobi+azw3
